obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""207.962""","=""207.964""","=""g,a*""","=""""",,"=""112.061""","=""48182""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.34d""","=""2D""","=""5/2""",,"=""""","=""L130""",
"=""207.962""","=""207.964""","=""g,a*""","=""""",,"=""0.000""","=""48070""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.23d""","=""2D""","=""3/2""",,"=""""","=""L130""",
"=""207.987""","=""207.986""","=""g,a""","=""""",,"=""112.061""","=""48177""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.33d""","=""2D""","=""5/2""",,"=""""","=""L130""",
"=""208.015""","=""208.016""","=""g,a""","=""""",,"=""112.061""","=""48170""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.32d""","=""2D""","=""5/2""",,"=""""","=""L130""",
"=""208.046""","=""208.046""","=""g,a*""","=""""",,"=""112.061""","=""48163""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.31d""","=""2D""","=""5/2""",,"=""""","=""L130""",
"=""208.046""","=""208.046""","=""g,a*""","=""""",,"=""0.000""","=""48051""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.22d""","=""2D""","=""3/2""",,"=""""","=""L130""",
"=""208.079""","=""208.081""","=""g,a""","=""""",,"=""112.061""","=""48155""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.30d""","=""2D""","=""5/2""",,"=""""","=""L130""",
"=""208.115""","=""208.116""","=""g,a""","=""""",,"=""112.061""","=""48147""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.29d""","=""2D""","=""5/2""",,"=""""","=""L130""",
"=""208.140""","=""208.132""","=""g,a""","=""""",,"=""0.000""","=""48031.1""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.21d""","=""2D""","=""3/2""",,"=""""","=""L130""",
"=""208.157""","=""208.159""","=""g,a""","=""""",,"=""112.061""","=""48137""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.28d""","=""2D""","=""5/2""",,"=""""","=""L130""",
"=""208.201""","=""208.202""","=""g,a""","=""""",,"=""112.061""","=""48127""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.27d""","=""2D""","=""5/2""",,"=""""","=""L130""",
"=""208.250""","=""208.247""","=""g,a""","=""""",,"=""0.000""","=""48004.7""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.20d""","=""2D""","=""3/2""",,"=""""","=""L130,L7413""",
"=""208.253""","=""208.254""","=""g,a""","=""""",,"=""112.061""","=""48115""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.26d""","=""2D""","=""5/2""",,"=""""","=""L130""",
"=""208.310""","=""208.311""","=""g,a""","=""""",,"=""112.061""","=""48102""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.25d""","=""2D""","=""5/2""",,"=""""","=""L130""",
"=""208.375""","=""208.375""","=""g,a*""","=""""",,"=""0.000""","=""47975.1""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.19d""","=""2D""","=""3/2""",,"=""""","=""L130,L7413""",
"=""208.375""","=""208.376""","=""g,a*""","=""""",,"=""112.061""","=""48087""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.24d""","=""2D""","=""5/2""",,"=""""","=""L130,L7413""",
"=""208.448""","=""208.450""","=""g,a""","=""""",,"=""112.061""","=""48070""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.23d""","=""2D""","=""5/2""",,"=""""","=""L130""",
"=""208.524""","=""208.525""","=""g,a""","=""""",,"=""0.000""","=""47940.7""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.18d""","=""2D""","=""3/2""",,"=""""","=""L130,L7413""",
"=""208.532""","=""208.532""","=""g,a""","=""""",,"=""112.061""","=""48051""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.22d""","=""2D""","=""5/2""",,"=""""","=""L130""",
"=""208.623""","=""208.619""","=""g,a""","=""""",,"=""112.061""","=""48031.1""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.21d""","=""2D""","=""5/2""",,"=""""","=""L130,L7413""",
"=""208.736""","=""208.734""","=""g,a""","=""""",,"=""112.061""","=""48004.7""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.20d""","=""2D""","=""5/2""",,"=""""","=""L130,L7413""",
"=""208.866""","=""208.863""","=""g,a""","=""""",,"=""112.061""","=""47975.1""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.19d""","=""2D""","=""5/2""",,"=""""","=""L130,L7413""",
"=""208.915""","=""208.916""","=""g,a""","=""""",,"=""0.000""","=""47850.9""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.16d""","=""2D""","=""3/2""",,"=""""","=""L130,L7413""",
"=""209.016""","=""209.013""","=""g,a""","=""""",,"=""112.061""","=""47940.7""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.18d""","=""2D""","=""5/2""",,"=""""","=""L130,L7413""",
"=""209.170""","=""209.169""","=""g,a""","=""""",,"=""0.000""","=""47793.0""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.15d""","=""2D""","=""3/2""",,"=""""","=""L130,L7413""",
"=""209.192""","=""209.191""","=""g,a""","=""""",,"=""112.061""","=""47900.1""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.17d""","=""2D""","=""5/2""",,"=""""","=""L130,L7413""",
"=""209.33""","=""209.3352""","=""1""","=""""",,"=""32436.796""","=""80191.9""","=""3s2.3d""","=""2D""","=""5/2""","=""3s.3p.(3P*).5d""","=""2D*""","=""5/2""",,"=""""","=""L3514""",
"=""209.408""","=""209.407""","=""g,a""","=""""",,"=""112.061""","=""47850.9""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s2.16d""","=""2D""","=""5/2""",,"=""""","=""L130,L7413""",
