obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
26.103,0.002,,,5,,,,,,,,,,,,,L3496,
26.120,0.002,,,5,,,,,,,,,,,,,L3496,
39.863,0.002,39.8630,0.0021,15,,,0.0,250859,3p6,1S,0,3p5.8d,"(1/2,3/2)*",1,,,L3496,
40.09,0.07,40.08,0.06,,,,0.0,249500,3p6,1S,0,3p5.8d,"(3/2,3/2)*",1,,,L11572,
40.39,0.07,40.39,0.07,,,,0.0,247600,3p6,1S,0,3p5.8d,"(3/2,5/2)*",1,,,L11572,
40.56,0.07,40.55,0.07,,1.3e+09,,0.0,246600,3p6,1S,0,3p5.7d,"(1/2,3/2)*",1,,T6166,L11572,
40.68,0.07,40.68,0.07,,,,0.0,245800,3p6,1S,0,3p5.8s,"(1/2,1/2)*",1,,,L11572,
40.81,0.07,40.82,0.07,,,,0.0,245000,3p6,1S,0,3p5.7d,"(3/2,5/2)*",1,,,L11572,
40.96,0.07,40.97,0.07,,,,0.0,244100,3p6,1S,0,3p5.7d,"(3/2,3/2)*",1,,,L11572,
41.03,0.07,41.03,0.07,,,,0.0,243700,3p6,1S,0,3p5.8s,"(3/2,1/2)*",1,,,L11572,
41.18,0.07,41.17,0.07,,2.6e+09,,0.0,242900,3p6,1S,0,3p5.6d,"(1/2,3/2)*",1,,T6166,L11572,
41.49,0.07,41.49,0.07,bl*,,,0.0,241000,3p6,1S,0,3p5.6d,"(3/2,5/2)*",1,,,L11572,
41.49,0.07,41.49,0.07,bl*,2.2e+08,,0.0,241000,3p6,1S,0,3p5.7s,"(1/2,1/2)*",1,,T6166,L11572,
41.73,0.07,41.74,0.07,,,,0.0,239600,3p6,1S,0,3p5.6d,"(3/2,3/2)*",1,,,L11572,
41.84,0.07,41.84,0.07,,,,0.0,239000,3p6,1S,0,3p5.7s,"(3/2,1/2)*",1,,,L11572,
42.20,0.07,42.19,0.07,,4.0e+09,,0.0,237000,3p6,1S,0,3p5.5d,"(1/2,3/2)*",1,,T6166,L11572,
42.80,0.07,42.79,0.07,,,,0.0,233700,3p6,1S,0,3p5.5d,"(3/2,5/2)*",1,,,L11572,
42.99,0.07,42.99,0.07,,,,0.0,232600,3p6,1S,0,3p5.6s,"(1/2,1/2)*",1,,,L11572,
43.15,0.08,43.16,0.07,,,,0.0,231700,3p6,1S,0,3p5.5d,"(3/2,3/2)*",1,,,L11572,
43.38,0.08,43.38,0.08,,,,0.0,230500,3p6,1S,0,3p5.6s,"(3/2,1/2)*",1,,,L11572,
44.181,0.002,,,25,,,,,,,,,,,,,L3496,
44.30,0.08,,,,,,,,,,,,,,,,L11572,
44.76,0.10,,,,,,,,,,,,,,,,L11572,
45.70,0.08,45.66,0.05,,,,0.0,(218992),3p6,1S,0,3p5.4d,3D*,1,,,L11572,
46.42,0.09,46.42506,0.00007,,,,0.0,215400.9,3p6,1S,0,3p5.4d,3P*,1,,,L11572,
46.508,0.002,46.50847,0.00007,5,1.0e+09,,0.0,215014.6,3p6,1S,0,3p5.(2P*<1/2>).5s,2[1/2]*,1,,T6166,L3496,
46.95,0.09,46.95087,0.00007,,,,0.0,212988.6,3p6,1S,0,3p5.(2P*<3/2>).5s,2[3/2]*,1,,,L11572,
47.603,0.002,,,10,,,,,,,,,,,,,L3496,
48.211,0.002,,,10,,,,,,,,,,,,,L3496,
48.241,0.002,,,10,,,,,,,,,,,,,L3496,
49.5153,0.0002,49.51534,0.00009,15,6.7e+10,,0.0,201957.6,3p6,1S,0,3p5.3d,1P*,1,,T6798,L12188,
52.379,0.002,,,25,,,,,,,,,,,,,L3496,
52.706,0.002,,,10,,,,,,,,,,,,,L3496,
54.612,0.002,,,15,,,,,,,,,,,,,L3496,
55.032,0.002,,,5,,,,,,,,,,,,,L3496,
55.4175,0.0002,55.41735,0.00010,30,1.06e+07,,0.0,180448.9,3p6,1S,0,3p5.3d,3D*,1,,T6798,L12188,
57.463,0.002,,,5,,,,,,,,,,,,,L3496,
60.0755,0.0002,60.07547,0.00011,50,2.3e+09,,0.0,166457.3,3p6,1S,0,3p5.4s,1P*,1,,T6798,L12188,
60.7932,0.0002,60.79323,0.00012,60,4.2e+08,,0.0,164492.0,3p6,1S,0,3p5.3d,3P*,1,,T6798,L12188,
61.2625,0.0002,61.26242,0.00012,65,1.2e+08,,0.0,163232.2,3p6,1S,0,3p5.4s,3P*,1,,T6798,L12188,
124.7036,0.0010,124.7040,0.0008,5,6.88e+05,,162502.7,242692.6,3p5.4s,3P*,2,3p5.(2P*<3/2>).6f,2[3/2],1,,T8304,L12188,
125.8385,0.0010,125.8367,0.0005,2,8.68e+07,,163232.2,242700.3,3p5.4s,3P*,1,3p5.(2P*<3/2>).6f,2[3/2],2,,T8304,L12188,
126.1664,0.0010,126.1662,0.0008,2,2.08e+08,,163432.1,242692.6,3p5.3d,3P*,0,3p5.(2P*<3/2>).6f,2[3/2],1,,T8304,L12188,
127.8623,0.0010,127.8637,0.0005,5,3.11e+08,,164492.0,242700.3,3p5.3d,3P*,1,3p5.(2P*<3/2>).6f,2[3/2],2,,T8304,L12188,
128.4628,0.0010,128.4632,0.0005,8,5.46e+08,,164927.9,242771.2,3p5.3d,3P*,2,3p5.(2P*<3/2>).6f,2[5/2],3,,T8304,L12188,
128.5786,0.0010,128.5803,0.0005,2,1.41e+08,,164927.9,242700.3,3p5.3d,3P*,2,3p5.(2P*<3/2>).6f,2[3/2],2,,T8304,L12188,
129.8693,0.0010,129.8691,0.0005,8,2.05e+06,,162502.7,239503.3,3p5.4s,3P*,2,3p5.(2P*<1/2>).5f,2[5/2],2,,T8304,L12188,
133.8358,0.0010,133.8371,0.0011,2,8.85e+06,,162502.7,237220.4,3p5.4s,3P*,2,3p5.(2P*<3/2>).5f,2[3/2],2,,T8304,L12188,
134.0909,0.0010,134.0925,0.0006,5,7.43e+06,,164927.9,239503.3,3p5.3d,3P*,2,3p5.(2P*<1/2>).5f,2[5/2],2,,T8304,L12188,
134.1233,0.0010,134.1223,0.0007,15,1.04e+08,,164927.9,239486.7,3p5.3d,3P*,2,3p5.(2P*<1/2>).5f,2[5/2],3,,T8304,L12188,
134.9075,0.0010,134.9082,0.0004,15,1.02e+07,,163232.2,237356.7,3p5.4s,3P*,1,3p5.(2P*<3/2>).5f,2[5/2],2,,T8304,L12188,
135.1844,0.0010,135.1854,0.0006,10,2.76e+07,,163232.2,237204.7,3p5.4s,3P*,1,3p5.(2P*<3/2>).5f,2[3/2],1,,T8304,L12188,
135.5513,0.0010,135.5517,0.0006,20,8.08e+07,,163432.1,237204.7,3p5.3d,3P*,0,3p5.(2P*<3/2>).5f,2[3/2],1,,T8304,L12188,
137.4990,0.0010,137.4979,0.0012,25,8.35e+07,,164492.0,237220.4,3p5.3d,3P*,1,3p5.(2P*<3/2>).5f,2[3/2],2,,T8304,L12188,
137.5243,0.0010,137.5276,0.0006,40,4.32e+07,,164492.0,237204.7,3p5.3d,3P*,1,3p5.(2P*<3/2>).5f,2[3/2],1,,T8304,L12188,
137.5903,0.0010,137.5904,0.0010,20,1.63e+09,,170049.2,242728.7,3p5.3d,3F*,4,3p5.(2P*<3/2>).6f,2[9/2],5,,T8304,L12188,
138.1009,0.0010,138.1004,0.0004,20,1.86e+08,,164927.9,237339.0,3p5.3d,3P*,2,3p5.(2P*<3/2>).5f,2[5/2],3,,T8304,L12188,
138.7732,0.0010,138.7746,0.0007,5,6.19e+06,,165145.4,237204.7,3p5.4s,3P*,0,3p5.(2P*<3/2>).5f,2[3/2],1,,T8304,L12188,
138.9285,0.0010,138.9275,0.0008,8bl*,1.27e+08,,170831.1,242811.1,3p5.3d,3F*,3,3p5.(2P*<3/2>).6f,2[7/2],4,,T8304,L12188,
138.9285,0.0010,138.9284,0.0010,8bl*,1.28e+08,,170831.1,242810.6,3p5.3d,3F*,3,3p5.(2P*<3/2>).6f,2[7/2],3,,T8304,L12188,
138.9970,0.0010,138.9976,0.0006,1,9.32e+06,,170831.1,242774.8,3p5.3d,3F*,3,3p5.(2P*<3/2>).6f,2[5/2],2,,T8304,L12188,
139.0803,0.0010,139.0799,0.0006,10,6.59e+08,,170831.1,242732.2,3p5.3d,3F*,3,3p5.(2P*<3/2>).6f,2[9/2],4,,T8304,L12188,
