Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
1s2.2s,2S,1/2,2,,0.000,,0.3, 100                                           ,L12158
1s2.2p,2P*,1/2,2,,31928.744,,0.3, 100                                           ,L12158
1s2.2p,2P*,3/2,4,,31935.320,,0.3, 100                                           ,L12158
1s2.3s,2S,1/2,2,,88231.915,,-, 100                                           ,L12158
1s2.3p,2P*,1/2,2,,96495.360,,0.014, 100                                           ,L12158
1s2.3p,2P*,3/2,4,,96497.288,,0.014, 100                                           ,L12158
1s2.3d,2D,3/2,4,,98054.57,,0.10, 100                                           ,L12158
1s2.3d,2D,5/2,6,,98055.10,,0.10, 100                                           ,L12158
1s2.4s,2S,1/2,2,,115464.44,,0.07, 100                                           ,L12158
1s2.4p,2P*,1/2,2,,118760.51,,0.09, 100                                           ,L12158
1s2.4p,2P*,3/2,4,,118761.32,,0.09, 100                                           ,L12158
1s2.4d,2D,3/2,4,,119421.20,,0.06, 100                                           ,L12158
1s2.4d,2D,5/2,6,,119421.44,,0.06, 100                                           ,L12158
1s2.4f,2F*,5/2,6,,119446.59,,0.12, 100                                           ,L12158
1s2.4f,2F*,7/2,8,,119446.72,,0.12, 100                                           ,L12158
1s2.5s,2S,1/2,2,,127335.12,,0.09, 100                                           ,L12158
1s2.5p,2P*,1/2,2,,128971.62,,0.08, 100                                           ,L12158
1s2.5p,2P*,3/2,4,,128972.05,,0.08, 100                                           ,L12158
1s2.5d,2D,3/2,4,,129310.13,,0.09, 100                                           ,L12158
1s2.5d,2D,5/2,6,,129310.25,,0.09, 100                                           ,L12158
1s2.5f,2F*,5/2,6,,129323.85,,0.06, 100                                           ,L12158
1s2.5f,2F*,7/2,8,,129323.92,,0.06, 100                                           ,L12158
1s2.5g,2G,9/2,10,,129325.46,,0.14, 100                                           ,L12158
1s2.5g,2G,7/2,8,,129325.46,,0.14, 100                                           ,L12158
1s2.6s,2S,1/2,2,,133556.44,,0.10, 100                                           ,L12158
1s2.6p,2P*,1/2,2,,134485.37,,0.12, 100                                           ,L12158
1s2.6p,2P*,3/2,4,,134485.61,,0.12, 100                                           ,L12158
1s2.6d,2D,5/2,6,,134681.15,,0.10, 100                                           ,L12158
1s2.6d,2D,3/2,4,,134681.15,,0.10, 100                                           ,L12158
1s2.6f,2F*,5/2,6,,134689.20,,0.12, 100                                           ,L12158
